# x  V_Rectangulos  V_Trapecio  V_Simpson
1.8190954774e+00 3.2298499620e+00 3.2298499620e+00 3.2298499620e+00
1.8391959799e+00 3.1987248481e+00 3.1987248481e+00 3.1987248481e+00
1.8592964824e+00 3.1681622637e+00 3.1681622637e+00 3.1681622637e+00
1.8793969849e+00 3.1381478505e+00 3.1381478505e+00 3.1381478505e+00
1.8994974874e+00 3.1086677120e+00 3.1086677120e+00 3.1086677120e+00
1.9195979899e+00 3.0797083963e+00 3.0797083963e+00 3.0797083963e+00
1.9396984925e+00 3.0512568787e+00 3.0512568787e+00 3.0512568787e+00
1.9597989950e+00 3.0233005460e+00 3.0233005460e+00 3.0233005460e+00
1.9798994975e+00 2.9958271809e+00 2.9958271809e+00 2.9958271809e+00
2.0000000000e+00 2.9688249468e+00 2.9688249468e+00 2.9688249468e+00
