-1.5789473684e+00 -7.3684210526e-01 -1.3683065929e-01 -6.1460317926e-02
-1.5789473684e+00 -5.2631578947e-01 -1.4306349468e-01 -4.5086988022e-02
-1.5789473684e+00 -3.1578947368e-01 -1.4747549249e-01 -2.7403998150e-02
-1.5789473684e+00 -1.0526315789e-01 -1.4971944174e-01 -9.1699926505e-03
-1.5789473684e+00 1.0526315789e-01 -1.4971944174e-01 9.1699926505e-03
-1.5789473684e+00 3.1578947368e-01 -1.4747549249e-01 2.7403998150e-02
-1.5789473684e+00 5.2631578947e-01 -1.4306349468e-01 4.5086988022e-02
-1.5789473684e+00 7.3684210526e-01 -1.3683065929e-01 6.1460317926e-02
-1.5789473684e+00 9.4736842105e-01 -1.2940714277e-01 7.5853750075e-02
-1.5789473684e+00 1.1578947368e+00 -1.2148023088e-01 8.7991780901e-02
-1.5789473684e+00 1.3684210526e+00 -1.1358893125e-01 9.7967110284e-02
-1.5789473684e+00 1.5789473684e+00 -1.0606601718e-01 1.0606601718e-01
-1.5789473684e+00 1.7894736842e+00 -9.9075934929e-02 1.1262308430e-01

-1.3684210526e+00 -1.7894736842e+00 -9.0697040512e-02 -1.1947404255e-01
-1.3684210526e+00 -1.5789473684e+00 -9.7967110284e-02 -1.1358893125e-01
-1.3684210526e+00 -1.3684210526e+00 -1.0606601718e-01 -1.0606601718e-01
-1.3684210526e+00 -1.1578947368e+00 -1.1493401267e-01 -9.6385542132e-02
-1.3684210526e+00 -9.4736842105e-01 -1.2430162283e-01 -8.3958957607e-02
-1.3684210526e+00 -7.3684210526e-01 -1.3352651649e-01 -6.8342295794e-02
-1.3684210526e+00 -5.2631578947e-01 -1.4151234205e-01 -4.9741904344e-02
-1.3684210526e+00 -3.1578947368e-01 -1.4706189850e-01 -2.9543155035e-02
-1.3684210526e+00 -1.0526315789e-01 -1.4968938048e-01 -9.6482833807e-03
-1.3684210526e+00 1.0526315789e-01 -1.4968938048e-01 9.6482833807e-03
-1.3684210526e+00 3.1578947368e-01 -1.4706189850e-01 2.9543155035e-02
-1.3684210526e+00 5.2631578947e-01 -1.4151234205e-01 4.9741904344e-02
-1.3684210526e+00 7.3684210526e-01 -1.3352651649e-01 6.8342295794e-02
-1.3684210526e+00 9.4736842105e-01 -1.2430162283e-01 8.3958957607e-02
-1.3684210526e+00 1.1578947368e+00 -1.1493401267e-01 9.6385542132e-02
-1.3684210526e+00 1.3684210526e+00 -1.0606601718e-01 1.0606601718e-01
-1.3684210526e+00 1.5789473684e+00 -9.7967110284e-02 1.1358893125e-01
-1.3684210526e+00 1.7894736842e+00 -9.0697040512e-02 1.1947404255e-01

-1.1578947368e+00 -1.7894736842e+00 -8.0727285967e-02 -1.2642430660e-01
-1.1578947368e+00 -1.5789473684e+00 -8.7991780901e-02 -1.2148023088e-01
-1.1578947368e+00 -1.3684210526e+00 -9.6385542132e-02 -1.1493401267e-01
-1.1578947368e+00 -1.1578947368e+00 -1.0606601718e-01 -1.0606601718e-01
-1.1578947368e+00 -9.4736842105e-01 -1.1709409490e-01 -9.3749522339e-02
-1.1578947368e+00 -7.3684210526e-01 -1.2916740570e-01 -7.6261270017e-02
-1.1578947368e+00 -5.2631578947e-01 -1.4090869227e-01 -5.1427039992e-02
-1.1578947368e+00 -3.1578947368e-01 -1.4927732266e-01 -1.4706493112e-02
-1.1578947368e+00 -1.0526315789e-01 -1.4934528230e-01 -1.3999523348e-02
-1.1578947368e+00 1.0526315789e-01 -1.4934528230e-01 1.3999523348e-02
-1.1578947368e+00 3.1578947368e-01 -1.4927732266e-01 1.4706493112e-02
-1.1578947368e+00 5.2631578947e-01 -1.4090869227e-01 5.1427039992e-02
-1.1578947368e+00 7.3684210526e-01 -1.2916740570e-01 7.6261270017e-02
-1.1578947368e+00 9.4736842105e-01 -1.1709409490e-01 9.3749522339e-02
-1.1578947368e+00 1.1578947368e+00 -1.0606601718e-01 1.0606601718e-01
-1.1578947368e+00 1.3684210526e+00 -9.6385542132e-02 1.1493401267e-01
-1.1578947368e+00 1.5789473684e+00 -8.7991780901e-02 1.2148023088e-01
-1.1578947368e+00 1.7894736842e+00 -8.0727285967e-02 1.2642430660e-01

-9.4736842105e-01 -1.7894736842e+00 -6.9037945921e-02 -1.3316817196e-01
-9.4736842105e-01 -1.5789473684e+00 -7.5853750075e-02 -1.2940714277e-01
-9.4736842105e-01 -1.3684210526e+00 -8.3958957607e-02 -1.2430162283e-01
-9.4736842105e-01 -1.1578947368e+00 -9.3749522339e-02 -1.1709409490e-01
-9.4736842105e-01 -9.4736842105e-01 -1.0606601718e-01 -1.0606601718e-01
-9.4736842105e-01 -7.3684210526e-01 -1.2578544967e-01 -8.1719157187e-02
-9.4736842105e-01 -5.2631578947e-01 -4.2609824692e-02 -1.4382073161e-01
-9.4736842105e-01 -3.1578947368e-01 -8.3559150077e-02 -1.2457073669e-01
-9.4736842105e-01 -1.0526315789e-01 -5.7432863479e-03 1.4989000855e-01
-9.4736842105e-01 1.0526315789e-01 -5.7432863479e-03 -1.4989000855e-01
-9.4736842105e-01 3.1578947368e-01 -8.3559150077e-02 1.2457073669e-01
-9.4736842105e-01 5.2631578947e-01 -4.2609824692e-02 1.4382073161e-01
-9.4736842105e-01 7.3684210526e-01 -1.2578544967e-01 8.1719157187e-02
-9.4736842105e-01 9.4736842105e-01 -1.0606601718e-01 1.0606601718e-01
-9.4736842105e-01 1.1578947368e+00 -9.3749522339e-02 1.1709409490e-01
-9.4736842105e-01 1.3684210526e+00 -8.3958957607e-02 1.2430162283e-01
-9.4736842105e-01 1.5789473684e+00 -7.5853750075e-02 1.2940714277e-01
-9.4736842105e-01 1.7894736842e+00 -6.9037945921e-02 1.3316817196e-01

-7.3684210526e-01 -1.7894736842e+00 -5.5649563162e-02 -1.3929510444e-01
-7.3684210526e-01 -1.5789473684e+00 -6.1460317926e-02 -1.3683065929e-01
-7.3684210526e-01 -1.3684210526e+00 -6.8342295794e-02 -1.3352651649e-01
-7.3684210526e-01 -1.1578947368e+00 -7.6261270017e-02 -1.2916740570e-01
-7.3684210526e-01 -9.4736842105e-01 -8.1719157187e-02 -1.2578544967e-01
-7.3684210526e-01 -7.3684210526e-01 -1.0606601718e-01 -1.0606601718e-01
-7.3684210526e-01 -5.2631578947e-01 6.9749414260e-02 1.3279690964e-01
-7.3684210526e-01 -3.1578947368e-01 1.4811500454e-01 2.3705388227e-02
-7.3684210526e-01 -1.0526315789e-01 1.4918219280e-01 1.5642037986e-02
-7.3684210526e-01 1.0526315789e-01 1.4918219280e-01 -1.5642037986e-02
-7.3684210526e-01 3.1578947368e-01 1.4811500454e-01 -2.3705388227e-02
-7.3684210526e-01 5.2631578947e-01 6.9749414260e-02 -1.3279690964e-01
-7.3684210526e-01 7.3684210526e-01 -1.0606601718e-01 1.0606601718e-01
-7.3684210526e-01 9.4736842105e-01 -8.1719157187e-02 1.2578544967e-01
-7.3684210526e-01 1.1578947368e+00 -7.6261270017e-02 1.2916740570e-01
-7.3684210526e-01 1.3684210526e+00 -6.8342295794e-02 1.3352651649e-01
-7.3684210526e-01 1.5789473684e+00 -6.1460317926e-02 1.3683065929e-01
-7.3684210526e-01 1.7894736842e+00 -5.5649563162e-02 1.3929510444e-01

-5.2631578947e-01 -1.7894736842e+00 -4.0788984409e-02 -1.4434770089e-01
-5.2631578947e-01 -1.5789473684e+00 -4.5086988022e-02 -1.4306349468e-01
-5.2631578947e-01 -1.3684210526e+00 -4.9741904344e-02 -1.4151234205e-01
-5.2631578947e-01 -1.1578947368e+00 -5.1427039992e-02 -1.4090869227e-01
-5.2631578947e-01 -9.4736842105e-01 -1.4382073161e-01 -4.2609824692e-02
-5.2631578947e-01 -7.3684210526e-01 1.3279690964e-01 6.9749414260e-02
